dataset,target_size,fold,algorithm,repeat,final_size,time,metric1,metric2,selected_features
lucas_full,10,0,fsdr,0,10,23.9372,0.7691,0.0653,424-427-1072-1412-1858-2022-2656-2811-3007-3818
lucas_full,10,0,fsdr,1,10,24.4896,0.8199,0.0577,433-1064-1123-1337-2021-2105-2489-3193-3435-3809
lucas_full,10,0,fsdr,2,9,24.9889,0.7892,0.0624,413-1117-1399-1911-2020-2125-2985-3443-3809
lucas_full,10,0,fsdr,3,10,24.4029,0.7911,0.0621,408-917-1061-1763-2019-2020-2137-2983-3435-3809
lucas_full,10,0,fsdr,4,10,24.9727,0.7951,0.0615,429-434-1029-1460-2020-2245-2521-2995-3448-3754
lucas_full,10,0,fsdr,5,10,25.603,0.7934,0.0618,407-1110-1323-1763-2020-2122-2132-2983-3435-3806
lucas_full,10,0,fsdr,6,10,24.6447,0.8011,0.0606,423-427-1117-1605-2019-2020-2148-2989-3441-3812
lucas_full,10,0,fsdr,7,10,24.9065,0.801,0.0607,412-657-1110-1442-2020-2137-2437-2988-3443-3809
lucas_full,10,0,fsdr,8,9,24.968,0.7851,0.063,433-441-804-1117-2020-2372-2996-3443-3811
lucas_full,10,0,fsdr,9,10,25.319,0.7905,0.0622,422-562-1019-1417-1893-2020-2592-2994-3437-3810
