M,R2_val,RMSE_val,bands
1,0.7691,0.0653,424-427-1072-1412-1858-2022-2656-2811-3007-3818
2,0.8199,0.0577,433-1064-1123-1337-2021-2105-2489-3193-3435-3809
3,0.7892,0.0624,413-1117-1399-1911-2020-2125-2985-3443-3809
4,0.7911,0.0621,408-917-1061-1763-2019-2020-2137-2983-3435-3809
5,0.7951,0.0615,429-434-1029-1460-2020-2245-2521-2995-3448-3754
6,0.7934,0.0618,407-1110-1323-1763-2020-2122-2132-2983-3435-3806
7,0.8011,0.0606,423-427-1117-1605-2019-2020-2148-2989-3441-3812
8,0.801,0.0607,412-657-1110-1442-2020-2137-2437-2988-3443-3809
9,0.7851,0.063,433-441-804-1117-2020-2372-2996-3443-3811
10,0.7905,0.0622,422-562-1019-1417-1893-2020-2592-2994-3437-3810
